Name,Value,Change,Volume,High,Low
RES-RESILIENT REIT LIMITED,"5,667", -1.24%,617.72K,5.77K,5.63K
RSG-RESOURCE GENERATION LTD,67,0%,0,0,0
RLO-REUNERT LTD,"5,085", 0.87%,64.13K,5.24K,4.98K
RTN-REX TRUEFORM GROUP -N-,770,0%,0,0,0
RTO-REX TRUEFORM GROUP LTD,811,0%,0,0,0
RFG-RFG HOLDINGS LIMITED,"1,250", 0.81%,85.08K,1.25K,1.16K
RHB-RH BOPHELO LIMITED,520,0%,0,0,0
RMH-RMB HOLDINGS LTD,145,0%,873.54K,147,144
RBP-ROYAL BAFOKENG PLATINUM LTD,"8,383", 1.51%,747.07K,8.43K,8.11K
SAC-SA CORP REAL ESTATE LTD,216, -1.37%,423.83K,221,213
SZK-SAB ZENZELE KABILI,"9,389", -0.12%,6.31K,9.40K,9K
SBP-SABVEST CAPITAL LIMITED,"5,400", -3.23%,7.59K,5.50K,5.36K
SAR-SAFARI INVESTMENTS RSA LTD,498, 3.97%,10.40K,499,457
SLM-SANLAM LIMITED,"6,254", -0.84%,3.10M,6.32K,6.22K
SNT-SANTAM LIMITED,"24,545", -0.78%,53.13K,24.93K,23.85K
SNV-SANTOVA LOGISTICS LTD,407,0%,19.66K,412,407
SAP-SAPPI LTD,"4,284", -0.79%,1.61M,4.32K,4.22K
SAPCB-SAPPISOUTHERNAFRICALTDCB,"1,395,000",0%,0,0,0
SFN-SASFIN HOLDINGS LTD,"2,450", -6.49%,1.94K,2.62K,2.45K
SOL-SASOL LIMITED,"21,427", -1.08%,0.95M,21.78K,21.35K
SCD-SCHRODER EUR REIT PLC,"2,143", 0.05%,1.74K,2.20K,2.11K
SHG-SEA HARVEST GROUP LTD,"1,298", -0.15%,13.96K,1.30K,1.25K
SEB-SEBATA HOLDINGS LTD,210, -4.98%,703,232,210
SEP-SEPHAKU HOLDINGS LTD,164, -1.8%,8.69K,164,153
SHP-SHOPRITE HOLDINGS LTD,"18,340", 2.57%,2.34M,18.67K,17.89K
SSW-SIBANYE STILLWATER LTD,"5,444", -0.49%,21.54M,5.63K,5.39K
SVB-SILVERBRIDGE HOLDINGS,77,0%,0,0,0
SRE-SIRIUS REAL ESTATE LTD,"2,560", 2.2%,335.07K,2.56K,2.49K
SOH-SOUTH OCEAN HOLDINGS LTD,98,0%,2.16K,98,89
S32-SOUTH32 LIMITED,"3,503", -1.49%,486.15K,3.52K,3.46K
SPA-SPANJAARD LIMITED,365, 1.39%,17.88K,370,365
SEA-SPEAR REIT LIMITED,670,0%,36.25K,685,669
SUR-SPUR CORPORATION LTD,"1,800", 0.84%,5.46K,1.90K,1.80K
SDO-STADIO HOLDINGS LIMITED,316, -0.63%,824.41K,331,303
SBK-STANDARD BANK GROUP LTD,"14,382", -0.9%,1.99M,14.55K,14.21K
SSK-STEFANUTTI STCK HLDGS LTD,47,0%,123.41K,47,44
SNH-STEINHOFF INT HLDGS N.V.,313, 7.93%,14.43M,319,290
SCP-STELLAR CAP PARTNERS LTD,93,0%,269.33K,94,93
STP-STENPROP LIMITED,"3,586", 0.17%,14.87K,3.60K,3.44K
SSS-STOR-AGE PROP REIT LTD,"1,396", -0.29%,160.51K,1.40K,1.38K
SUI-SUN INTERNATIONAL LTD,"1,875", -0.64%,64.83K,1.90K,1.81K
SPG-SUPER GROUP LTD,"3,347", 4.3%,1.13M,3.44K,3.20K
SYG-SYGNIA LIMITED,"1,744", 2.59%,2.37K,1.75K,1.68K
TAS-TASTE HLDGS LTD,101,0%,0,0,0
TLM-TELEMASTER HOLDINGS LTD,140, 0.72%,170,140,140
TKG-TELKOM SA SOC LTD,"3,943", -0.81%,1.57M,3.98K,3.90K
TXT-TEXTAINER GROUP HLDGS LTD,"50,198", 3.07%,14.33K,50.45K,48.35K
TEX-TEXTON PROPERTY FUND LTD,300,0%,524,300,300
THA-THARISA PLC,"2,220", 1.65%,5.01K,2.27K,2.21K
TFG-THE FOSCHINI GROUP LIMITED,"14,427", 0.48%,680.24K,14.54K,14.25K
TFGN-THE FOSCHINI GROUP LIMITED NPL,"2,850",0%,0,0,0
SPP-THE SPAR GROUP LTD,"20,176", -0.41%,500.21K,20.31K,20K
TGA-THUNGELA RESOURCES LTD,"6,150", -2.27%,1.49M,6.40K,6.06K
TBS-TIGER BRANDS LTD,"18,073", -1.38%,210.23K,18.27K,18K
TON-TONGAAT HULETT LTD,684, -2.29%,157.93K,701,670
TCS-TOTAL CLIENT SERVICES LD,1,0%,0,0,0
TWR-TOWER PROPERTY FUND LTD,380, 2.7%,355.43K,380,369
TDH-TRADEHOLD LTD,"1,048", 4.8%,1.70K,1.09K,1.05K
TCP-TRANSACTION CAPITAL LTD,"3,785", 1.07%,217.62K,3.80K,3.73K
TPF-TRANSCEND RES PROP FD LD,455,0%,0,0,0
TPC-TRANSPACO LTD,"1,700",0%,10.03K,1.70K,1.69K
TRL-TRELLIDOR HLDGS LTD,339, -3.14%,222.50K,349,315
TMT-TREMATON CAPITAL INV LTD,319, 2.9%,1.27K,319,319
TRE-TRENCOR LTD,454, -2.99%,22.83K,459,422
TTO-TRUSTCO GROUP HLDGS LTD,155, -3.13%,13.15K,160,155
TRU-TRUWORTHS INT LTD,"5,525", -0.75%,2.14M,5.60K,5.48K
TSG-TSOGO SUN GAMING LTD,974, -0.31%,110.47K,0.98K,0.97K
TGO-TSOGO SUN HOTELS LTD,316, 0.32%,10.93M,316,306
UAT-UNION ATLANTIC MINERALS LTD,4,0%,0,0,0
UPL-UNIVERSAL PARTNERS LTD,"1,905",0%,0,0,0
VIS-VISUAL INTERNATIONAL HLDGS LTD,7,0%,2.11M,7,5
VVO-VIVO ENERGY PLC,"2,236",0%,15.07K,2.25K,2.21K
VOD-VODACOM GROUP LTD,"13,763", -0.9%,704.42K,13.91K,13.70K
VKE-VUKILE PROPERTY FUND LTD,"1,122", -0.18%,1.10M,1.14K,1.11K
VUN-VUNANI LTD,300,0%,24,300,300
WSL-WESCOAL HOLDINGS LTD,162, -5.26%,1.03M,179,161
WEZ-WESIZWE PLATINUM LTD,52,0%,622.53K,52,51
WEA-WG WEARNE LTD,3,0%,0,0,0
WBO-WILSON BAYLY HLM-OVC LTD,"11,758", 1.06%,40.56K,11.87K,11.53K
WHL-WOOLWORTHS HOLDINGS LTD,"6,245", 0.37%,4.82M,6.30K,6.17K
WKF-WORKFORCE HOLDINGS LTD,130, 3.17%,2.16K,130,130
YYLBEE-YEBOYETHU (RF) LTD,"4,506",0%,4.77K,4.51K,4.51K
YRK-YORK TIMBER HOLDINGS LTD,338, 0.9%,49.68K,339,331
ZCL-ZARCLEAR HOLDINGS LTD,460,0%,0,0,0
ZED-ZEDER INV LTD,313, -0.95%,378.15K,318,310
